Accession Code (sample#),LakeName,DEC_Code,Date,Z max (m),Sample Type,Sample Z (m),Sample Layer,Secchi (m),Conductivity (umhos),pH_air_eq,ANC(ueq/L),NH4-N (ug N/L),NH4+ (mg/L),NH4+ (ueq/L),DIC (mg/L),DOC (mg/L),F (mg/L),Cl (mg/L),Cl (ueq/L),NO3-N (mg N/L),NO3- (mg/L),NO3- (ueq/L),SO4-S (mg S/L),SO4-- (mg/L),SO4-- (ueq/L),Total P (ug/L),MRP    (ug P/L),TFP (ug/L),TN (mg/L),Chla (ug/L),Si (mg/l),Dissolved Silica SiO2 (mg/l),Na (mg/L),Na (ueq/L),K (mg/L),K (ueq/L),Fe (mg/L),Mg (mg/L),Mg (ueq/L),Ca (mg/L),Ca (ueq/L),Total Al (ug/L),Total mono Al (ug/L),Nonlabile mono Al (ug/L),Labile mono Ali (ug/L),Hydrologic Type,Watershed,Watershed area (ha),lake volume (m3),WA/SA ratio,surface area (ha),surface area (m2)
10046524,Cascade,40747,11-Jul-00,5.8,I,5,N,5.8,20.3,6.56,36.5,8.67,0.01,0.61,0.5,1.71,0.08,0.26,7.17,0.23,1,15.94,1.56,4.67,93.48,6.57,1.4,3.13,0.42,1.37,2.4,5.14,0.78,33.5,0.34,8.48,0.05,0.38,31.24,2.28,111.57,100.89,16.32,3.53,12.79,MDL,black,474.8,1718878,11.8,40.4,404000
10046596,Cascade,40747,15-Aug-00,5.7,I,5,N,5.7,20.6,6.57,38.5,18.27,0.02,1.29,1.02,3.12,0.09,0.27,7.42,0.14,0.64,10.2,1.59,4.77,95.4,7.99,1.3,2.6,0.38,1.37,2.15,4.6,0.7,29.97,0.35,8.85,0.1,0.38,31.08,2.36,115.79,69.02,20.03,4.05,15.98,MDL,black,474.8,1718878,11.8,40.4,404000
10146029,Cascade,40747,9-Jul-01,5.8,I,5,N,4.8,21.3,6.69,48.37,2.5,0,0.18,0.69,2.93,0.08,0.21,5.91,0.29,1.28,20.41,1.58,4.74,94.8,4.43,2.07,1.72,0.49,1.89,2.21,4.73,0.76,32.51,0.37,9.13,0.13,0.39,31.98,2.31,113.39,104.8,28.79,3.88,24.91,MDL,black,474.8,1718878,11.8,40.4,404000
10146109,Cascade,40747,6-Sep-01,5,I,5,N,5,20,6.88,58.91,6.95,0.01,0.49,1.08,2.06,0.09,0.42,11.7,0.16,0.69,11.05,1.5,4.51,90.24,3.31,2.1,1.25,0.3,2.28,1.82,3.89,0.78,33.33,0.35,8.75,0.13,0.45,36.82,2.17,106.13,28.22,14.73,1.05,13.68,MDL,black,474.8,1718878,11.8,40.4,404000
10246028,Cascade,40747,27-Aug-02,5.8,I,5,N,4.8,22.6,6.94,68.66,5,0.01,0.35,,1.89,0.1,0.51,14.34,0.15,0.68,10.84,1.81,5.44,108.72,5.2,1.67,1.45,0.31,1.77,1.97,4.22,0.86,36.94,0.38,9.43,0.13,0.46,37.39,2.3,112.65,28.06,3.15,0,3.15,MDL,black,474.8,1718878,11.8,40.4,404000
10246166,Cascade,40747,17-Sep-02,5.5,I,5,N,5.2,23,6.95,72.03,5,0.01,0.35,1.18,2.18,0.1,0.33,9.13,0.1,0.45,7.23,1.72,5.15,103.02,5.08,2.16,1.8,0.3,2.18,2.26,4.84,0.84,35.95,0.38,9.45,0.13,0.47,38.29,2.24,109.61,31.35,0,0,0,MDL,black,474.8,1718878,11.8,40.4,404000
10346028,Cascade,40747,10-Jul-03,5.5,I,4,Ye,5.5,22.6,6.82,48.98,5,0.01,0.35,0.89,2.02,0.09,0.26,7.17,0.29,1.3,20.83,1.69,5.08,101.64,5.28,1.04,1.71,0.43,1.26,2.7,5.78,0.85,36.68,0.32,8.03,0.13,0.42,34.36,2.62,128.58,111.93,11.49,0,11.49,MDL,black,474.8,1718878,11.8,40.4,404000
10346112,Cascade,40747,7-Aug-03,5.6,I,5,N,5.6,23.3,6.85,56.8,10.4,0.01,0.74,0.96,2.02,0.09,0.24,6.66,0.21,0.94,15.02,1.76,5.28,105.54,4.86,0.5,1.15,0.42,1.37,2.42,5.18,0.85,36.38,0.33,8.35,0.13,0.44,36,2.56,125.24,37.1,5.09,0,5.09,MDL,black,474.8,1718878,11.8,40.4,404000
10446026,Cascade,40747,21-Jul-04,5.7,I,5,N,5.6,19.4,6.78,54.76,34.99,0.04,2.47,0.83,1.35,0.07,0.24,6.58,0.23,1.02,16.3,1.58,4.73,94.62,2.16,1.6,3.35,0.41,1.78,2.63,5.63,0.8,34.57,0.38,9.38,0.13,0.46,37.97,2.14,104.91,66.86,11.36,0,11.36,MDL,black,474.8,1718878,11.8,40.4,404000
10446112,Cascade,40747,4-Aug-04,5.5,I,5,N,5,19.2,6.8,59.01,16.91,0.02,1.2,0.94,1.91,0.08,0.24,6.78,0.2,0.88,14.03,1.61,4.82,96.36,3.02,,2.59,0.37,1.71,3.19,6.83,0.79,33.97,0.38,9.53,0.13,0.46,37.47,2.31,113.09,46.49,6.15,0,6.15,MDL,black,474.8,1718878,11.8,40.4,404000
10546027,Cascade,40747,13-Jul-05,5.6,I,5,N,5.6,22.6,6.78,59.02,5,0.01,0.35,1.14,1.9,0.08,0.5,14.03,0.26,1.15,18.35,1.46,4.38,87.6,6.97,1.5,1.54,0.37,1.39,2.6,5.56,0.92,39.43,0.38,9.55,0.13,0.45,37.15,3.41,166.94,70.58,12.71,0,12.71,MDL,black,474.8,1718878,11.8,40.4,404000
10546111,Cascade,40747,10-Aug-05,5.5,I,5,N,4.5,23.5,6.87,65.15,5,0.01,0.35,1.08,2.35,0.09,0.42,11.82,0.16,0.72,11.48,1.4,4.2,84,4.98,2.63,6.62,0.37,3.09,2.1,4.49,0.91,39.22,0.38,9.45,0.13,0.39,31.65,2.27,111.08,41.57,9.58,0,9.58,MDL,black,474.8,1718878,11.8,40.4,404000
10646026,Cascade,40747,14-Jul-06,5.6,I,4,Ye,4.9,21.2,6.76,48.77,5,0.01,0.35,0.85,2.75,0.07,0.38,10.56,0.13,0.58,9.21,1.44,4.32,86.4,7.44,1.59,1.57,0.32,1.49,2.24,4.79,0.78,33.37,0.3,7.55,0.13,0.38,31.49,1.86,91.34,96.09,20.08,0,20.08,MDL,black,474.8,1718878,11.8,40.4,404000
10646112,Cascade,40747,10-Aug-06,6.1,I,5,N,6.1,22.1,6.83,58.01,12.6,0.02,0.89,1.17,2.54,0.08,0.31,8.54,0.1,0.43,6.94,1.33,3.99,79.8,4.11,1.25,1.89,0.27,1.59,2.17,4.64,0.77,32.94,0.33,8.15,0.13,0.39,32.31,2.17,106.18,57.8,7.72,0,7.72,MDL,black,474.8,1718878,11.8,40.4,404000
10746011,Cascade,40747,12-Jul-07,5.5,I,4,Ye,4,20.7,6.72,51.42,5,0.01,0.35,0.9,3.87,0.07,0.5,13.97,0.32,1.41,22.56,1.29,3.87,77.4,9.29,5.54,1.71,0.65,2.31,2.6,5.56,0.75,32.04,0.35,8.7,0.13,0.41,33.46,2.2,107.95,77.24,11.44,1.65,9.79,MDL,black,474.8,1718878,11.8,40.4,404000
10746052,Cascade,40747,1-Aug-07,5.7,I,5,N,5,19.5,6.91,62.81,5,0.01,0.35,1.14,1.7,0.08,0.31,8.74,0.26,1.15,18.4,1.28,3.84,76.8,4.25,2.43,1.08,0.48,1.81,2.67,5.71,0.81,34.96,0.38,9.5,0.05,0.38,31.24,2.24,109.91,40.89,8.53,0,8.53,MDL,black,474.8,1718878,11.8,40.4,404000
10846011,Cascade,40747,1-Jul-08,6,I,5,N,4.3,9.1,6.8,76.71,20.2,0.03,1.43,0.98,1.94,0.08,0.44,12.43,0.15,0.66,10.56,1.36,4.08,81.6,3.98,3.75,1.37,0.25,3.09,2.49,5.33,0.67,28.68,0.32,8.03,,0.36,29.6,2.91,142.54,103.11,0,0,0,MDL,black,474.8,1718878,11.8,40.4,404000
10846053,Cascade,40747,5-Aug-08,5.8,I,5,N,5.8,15.7,6.89,62.18,15.5,0.02,1.09,,2.14,0.09,0.31,8.79,0.09,0.38,6.08,1.39,4.17,83.4,2.87,1.59,1.73,0.13,1.53,2.38,5.09,0.71,30.57,0.38,9.48,0.13,0.35,28.78,2.57,125.78,51.72,11.66,13.44,-1.78,MDL,black,474.8,1718878,11.8,40.4,404000
11046011,Cascade,40747,13-Jul-10,5.5,I,5,N,4.75,19.7,6.92,65.3,14.6,0.02,1.03,1.19,2.83,0.1,0.55,15.48,0.1,0.46,7.36,1.38,4.14,82.8,5.55,4.72,1.48,0.22,2.84,2.15,4.6,0.94,40.55,0.3,7.55,0.13,0.35,28.86,1.79,87.81,66.81,7.29,0.05,7.24,MDL,black,474.8,1718878,11.8,40.4,404000
11046054,Cascade,40747,11-Aug-10,5.5,I,5,N,4.25,22.9,6.93,80.2,13.2,0.02,0.94,1.13,3.1,0.09,0.37,10.42,0.06,0.25,4,1.25,3.75,75,2.36,2.67,2.6,0.13,4.58,1.98,4.24,0.84,36.12,0.29,7.15,0.13,0.36,29.68,1.96,96.14,39.33,2.97,0.05,2.92,MDL,black,474.8,1718878,11.8,40.4,404000
11146009,Cascade,40747,11-Jul-11,5.9,I,3,Ye,4,12,6.69,38.23,20.1,0.03,1.42,0.78,3.27,0.05,0.43,11.96,0.17,0.73,11.68,1.07,3.21,64.2,3.94,3.31,3.63,0.27,1.42,2.43,5.2,0.68,29.33,0.35,8.73,0.17,0.34,27.55,1.96,95.8,133.18,26.44,8.55,17.89,MDL,black,474.8,1718878,11.8,40.4,404000
11146050,Cascade,40747,9-Aug-11,5.7,I,4,Ye,4.2,18.2,6.83,62.51,3.71,0,0.26,0.84,3.91,0.03,0.28,7.81,0.09,0.39,6.24,1.11,3.33,66.6,3.82,3.86,1.99,0.24,5.99,2.6,5.56,0.72,31.09,0.35,8.7,0.09,0.36,29.85,1.95,95.31,57.87,8.69,0,8.69,MDL,black,474.8,1718878,11.8,40.4,404000
11246009,Cascade,40747,10-Jul-12,5.7,I,4,Ye,4.5,20.8,6.94,72.19,7.39,0.01,0.523,0.988,2.488,0.067,0.459,12.852,0.303,1.342,21.472,1.05,3.15,63,4.29,3.5,1.436,0.468,3.21,2.82,6.03,0.803,34.529,0.307,7.675,0.03,0.403,33.046,2.871,140.679,97.96,9.498,0,9.5,MDL,black,474.8,1718878,11.8,40.4,404000
11246050,Cascade,40747,7-Aug-12,5,I,5,Ye,4,22.6,7.1,96.18,43.8,0.056,3.098,1.491,2.873,0.0729,0.376,10.528,0.175,0.775,12.401,1.034,3.102,62.04,4.722,4.35,0.381,0.487,2.96,2.49,5.33,0.918,39.474,0.599,14.975,0.118,0.442,36.244,3.303,161.847,64.92,5.88,0,5.88,MDL,black,474.8,1718878,11.8,40.4,404000
9646724,Cascade,40747,18-Jun-96,5.9,G,5,Yh,5.8,20,6.08,41.37,5,0.01,0.35,1.29,5.51,,,,0.44,1.96,31.32,1.74,5.23,104.52,4.88,1.48,2,0.6,0.6,0.22,0.47,0.74,31.82,0.38,9.5,0.05,0.42,34.44,1.76,86.11,185,150,0,150,MDL,black,474.8,1718878,11.8,40.4,404000
9646779,Cascade,40747,17-Jul-96,6,G,5,Yh,5.25,20.1,6.4,20.88,5,0.01,0.35,1.07,4.04,,0.38,10.64,0.36,1.61,25.79,1.78,5.34,106.8,3.93,1.16,1.46,0.49,1.25,0.14,0.3,0.74,31.82,0.36,9,0.05,0.41,33.62,1.7,83.24,146,51,0,51,MDL,black,474.8,1718878,11.8,40.4,404000
9846626,Cascade,40747,7-Jul-98,6.2,G,5,Yh,5,22.4,6.69,61.5,5.73,0.01,0.41,1.72,3.59,0.11,0.54,15.15,0.2,0.9,14.46,1.33,4,80.01,7.51,3,2.04,0.37,2.53,2,4.28,0.76,32.81,0.39,9.75,0.05,0.41,33.87,2.17,106.27,,30.23,11.56,18.67,MDL,black,474.8,1718878,11.8,40.4,404000
10346029,Cascade,40747,10-Jul-03,5.5,G,5,Yh,5.5,22.7,6.66,56.98,6.16,0.01,0.44,1.49,2.17,0.05,0.28,7.9,0.23,1.04,16.58,1.71,5.12,102.42,8.15,1.65,2.17,0.39,2.93,2.39,5.11,0.85,36.46,0.35,8.65,0.13,0.42,34.69,2.7,132.15,127.93,17.23,0,17.23,MDL,black,474.8,1718878,11.8,40.4,404000
10646027,Cascade,40747,14-Jul-06,5.6,G,5,Yh,4.9,22,6.79,51.66,20.9,0.03,1.48,2.3,3.32,0.08,0.35,9.74,0.11,0.5,8.08,1.38,4.14,82.8,7.22,2.21,1.9,0.39,3.05,2.05,4.39,0.76,32.55,0.33,8.13,0.33,0.38,31.08,1.87,91.63,234.54,23.88,3.37,20.51,MDL,black,474.8,1718878,11.8,40.4,404000
10746012,Cascade,40747,12-Jul-07,5.5,G,5,Yh,4,21.4,6.91,62.57,15.2,0.02,1.08,1.88,3.56,0.08,0.33,9.21,0.29,1.28,20.41,1.33,3.99,79.8,5.72,6.07,1.71,0.44,4.08,2.64,5.65,0.76,32.55,0.36,9.08,0.13,0.43,35.18,2.23,109.32,89.81,11.23,1.7,9.53,MDL,black,474.8,1718878,11.8,40.4,404000
11146010,Cascade,40747,11-Jul-11,5.9,G,5,Yh,4,12.3,6.83,69.65,15.3,0.02,1.08,1.95,3.283,0.0603,0.314,8.792,0.115,0.509,8.149,0.858,2.574,51.48,6.825,2.68,5.239,0.294,10.37,2.14,4.58,0.856,36.808,0.473,11.825,0.15,0.382,31.324,2.073,101.577,124.718,30.788,11.252,19.536,MDL,black,474.8,1718878,11.8,40.4,404000
11146051,Cascade,40747,9-Aug-11,5.7,G,5,Yh,4.2,20.6,7.08,91.66,11.7,0.02,0.83,2.865,3.562,0.025,0.214,5.992,0.025,0.111,1.772,1.06,3.18,63.6,6.692,4.82,1.989,0.203,15.24,1.89,4.04,0.794,34.142,0.43,10.75,0.16,0.427,35.014,2.22,108.78,86.759,11.414,0,11.414,MDL,black,474.8,1718878,11.8,40.4,404000
11246011,Cascade,40747,10-Jul-12,5.7,G,5,Yh,4.5,21.5,7.04,89.8,9.95,0.013,0.704,1.856,2.393,0.078,0.304,8.512,0.175,0.775,12.401,1.14,3.42,68.4,7.1,4.59,2.589,0.346,9.4,2.36,5.05,0.793,34.099,0.334,8.35,0.074,0.428,35.096,3.044,149.156,195.66,7.043,0,7.04,MDL,black,474.8,1718878,11.8,40.4,404000
9446802,Constable,40777,20-Jun-94,3.8,I,3,N,3.8,21,4.94,-3,25,0.03,1.77,0.59,3.58,,0.38,10.64,0.25,1.09,17.36,1.77,5.31,106.2,5,1.8,3,0.44,2.25,1.12,2.4,0.44,18.92,0.41,10.25,0.14,0.25,20.25,1.11,54.59,334,170,53,117,TDL,black,945.1,434780,45.9,20.6,206000
9446864,Constable,40777,25-Jul-94,3.9,I,3,N,3.4,26,5.01,0.2,60,0.08,4.24,,3.71,,0.43,12.04,0.12,0.54,8.57,1.69,5.07,101.4,5.3,2.5,0.5,0.48,3.47,1.01,2.16,0.48,20.64,0.37,9.25,0.26,0.26,21.16,1.11,54.17,315,180,65,115,TDL,black,945.1,434780,45.9,20.6,206000
9446947,Constable,40777,23-Aug-94,4,I,3,N,3.95,27,4.92,10.8,25,0.03,1.77,0.49,4.84,,0.4,11.2,0.08,0.36,5.74,1.62,4.86,97.2,4.6,3,2,0.34,0.41,1.17,2.5,0.48,20.64,0.3,7.5,0.24,0.26,20.99,0.98,48.26,309,150,38,112,TDL,black,945.1,434780,45.9,20.6,206000
9546812,Constable,40777,13-Jun-95,3.9,I,3,N,3,23,5.01,-19.9,40,0.05,2.83,0.63,2.7,,0.6,16.88,0.25,1.11,17.79,1.84,5.53,110.64,6.9,3.3,0.5,0.49,0.93,1.16,2.48,0.64,27.52,0.45,11.25,0.05,0.31,25.42,0.81,39.74,285,140,47,93,TDL,black,945.1,434780,45.9,20.6,206000
9546914,Constable,40777,15-Aug-95,4,I,3.5,N,4,21.9,4.89,-22.7,37,0.05,2.62,0.81,5.21,,0.73,20.41,0.2,0.89,14.31,2.29,6.87,137.43,4.8,0.5,1.9,0.37,1.38,0.9,1.93,0.64,27.52,0.34,8.5,0.16,0.28,22.96,0.67,32.96,257,58,38,20,TDL,black,945.1,434780,45.9,20.6,206000
9546951,Constable,40777,6-Sep-95,4.4,I,3.5,N,3.9,18,5.23,24.4,37,0.05,2.62,1.26,4.29,,0.43,12.1,0.08,0.37,5.88,1.55,4.64,92.7,2.08,1.36,1.3,0.27,2.25,0.05,0.11,0.66,28.38,0.35,8.75,0.24,0.3,24.6,0.91,44.82,217,100,48,52,TDL,black,945.1,434780,45.9,20.6,206000
9646731,Constable,40777,18-Jun-96,4,I,2.5,Ye,3.5,22.6,4.67,-12.3,5,0.01,0.35,0.72,7.51,,0.33,9.24,0.25,1.11,17.72,1.27,3.81,76.2,3.2,1.93,0.5,0.6,2.49,1.5,3.21,0.47,20.21,0.37,9.25,0.12,0.24,19.68,0.73,35.74,435,390,72,318,TDL,black,945.1,434780,45.9,20.6,206000
9646785,Constable,40777,18-Jul-96,3.9,I,3,Ye,3.2,20.4,4.84,-11.53,16,0.02,1.13,0.9,5.89,,0.34,9.52,0.19,0.83,13.25,1.37,4.11,82.2,3.41,2.31,1.63,0.43,0.99,0.6,1.28,0.49,21.07,0.31,7.75,0.23,0.25,20.5,0.89,43.4,407,310,71,239,TDL,black,945.1,434780,45.9,20.6,206000
9646855,Constable,40777,15-Aug-96,3.7,I,3,N,2.75,15.6,5.07,-2.48,20,0.03,1.41,0.45,7.75,,0.43,12.1,0.16,0.72,11.55,1.72,5.17,103.44,4.26,1.05,1.36,0.56,3.45,1.02,2.18,0.52,22.36,0.3,7.5,0.33,0.26,21.32,0.96,46.99,302,240,62,178,TDL,black,945.1,434780,45.9,20.6,206000
9746818,Constable,40777,10-Jul-97,4,I,3,Ye,2.5,21.2,5.11,-4,5,0.01,0.35,0.77,4.9,0.16,0.28,7.84,0.23,1.02,16.3,1.91,5.73,114.6,8.7,1.52,2.5,0.52,2.82,0.97,2.08,0.5,21.5,0.36,9,0.2,0.26,21.32,1.19,58.13,518,180,69,111,TDL,black,945.1,434780,45.9,20.6,206000
9746891,Constable,40777,12-Aug-97,4,I,3,Ye,3,19,5.34,1,20,0.03,1.41,0.64,7.7,0.08,0.2,5.6,0.11,0.49,7.8,1.6,4.8,96,8.4,1.6,1.3,0.53,1.8,0.76,1.63,0.52,22.36,0.42,10.5,0.28,0.32,26.4,1.49,73.05,282,170,71,99,TDL,black,945.1,434780,45.9,20.6,206000
9846633,Constable,40777,8-Jul-98,4.2,I,2,Ye,2.5,20.8,4.88,-9.67,2.5,0,0.18,0.7,7.5,0.05,0.22,6.14,0.16,0.69,11.05,1.37,4.1,82.08,6.83,1,1.88,0.52,1.81,1.48,3.17,0.39,16.86,0.25,6.13,0.35,0.23,19.19,1.24,60.84,,256.36,121.88,134.48,TDL,black,945.1,434780,45.9,20.6,206000
9846705,Constable,40777,11-Aug-98,3.8,I,2,Ye,2.8,21.2,5.19,-4,13.17,0.02,0.93,0.52,5.44,0.08,0.29,8.12,0.1,0.44,7.09,1.74,5.22,104.4,3.3,2.31,2.18,0.41,2.68,1.05,2.25,0.5,21.29,0.36,8.95,0.29,0.26,20.99,1.36,66.51,,132.27,37.67,94.6,TDL,black,945.1,434780,45.9,20.6,206000
9946134,Constable,40777,7-Jul-99,4.1,I,3,N,2,18.2,5.32,-5.51,26.96,0.03,1.91,0.54,6.58,0.04,0.26,7.28,0.12,0.53,8.5,1.52,4.56,91.2,5.59,1.54,2.16,0.44,1.85,0.96,2.05,0.54,23.05,0.38,9.38,0.36,0.27,22.3,1.64,80.31,188.91,108.26,30.92,77.34,TDL,black,945.1,434780,45.9,20.6,206000
9946204,Constable,40777,17-Aug-99,4.5,I,3,N,2.5,20.4,5.51,5.85,19.67,0.03,1.39,,1.53,0.06,0.33,9.24,0.05,0.22,3.54,1.46,4.38,87.6,6.14,1.61,2.02,0.33,3.93,0.47,1.01,0.58,24.85,0.38,9.45,0.53,0.29,23.45,1.32,64.63,322.45,76.48,52.59,23.88,TDL,black,945.1,434780,45.9,20.6,206000
10046533,Constable,40777,12-Jul-00,3.9,I,2,Ye,3.25,18.7,5.01,-7.05,6.75,0.01,0.48,0.5,3.54,0.06,0.8,22.29,0.08,0.36,5.81,2.03,6.1,122.04,5.71,1.16,1.22,0.39,1.44,0.92,1.96,0.45,19.44,0.3,7.45,0.23,0.22,18.29,1.38,67.67,342.15,155.56,48.85,106.7,TDL,black,945.1,434780,45.9,20.6,206000
10046605,Constable,40777,15-Aug-00,4,I,3,Ye,2.2,19.6,4.84,-9.77,8.72,0.01,0.62,0.5,5.86,0.06,0.19,5.35,0.04,0.16,2.62,1.5,4.51,90.24,6.4,1.77,0.5,0.34,2.33,1.22,2.61,0.42,18.1,0.23,5.73,0.31,0.2,16.07,1.33,65.12,395.84,202.78,79.08,123.7,TDL,black,945.1,434780,45.9,20.6,206000
10146038,Constable,40777,10-Jul-01,3.7,I,3,N,3.7,19,5.03,-0.27,12.03,0.02,0.85,0.47,4.57,0.05,0.24,6.64,0.13,0.57,9.07,1.38,4.15,83.04,6.15,0.61,2.06,0.34,0.76,0.95,2.03,0.5,21.54,0.28,6.98,0.13,0.22,17.71,1.36,66.4,355.91,157.52,13.19,144.33,TDL,black,945.1,434780,45.9,20.6,206000
10146118,Constable,40777,6-Sep-01,4.2,I,3,Ye,3.7,15.8,5.29,-28.58,15.23,0.02,1.08,0.53,2.9,0.01,0.22,6.16,0.1,0.44,7.09,1.43,4.3,85.98,5.37,2,2.13,0.37,0.65,0.88,1.88,0.47,20.08,0.24,5.88,0.33,0.23,18.45,1.32,64.58,282.25,104.82,10.46,94.36,TDL,black,945.1,434780,45.9,20.6,206000
10246036,Constable,40777,28-Aug-02,3.9,I,3.5,N,2.8,16.6,5.44,6.35,11.84,0.02,0.84,,2.21,0.06,0.3,8.29,0.04,0.16,2.55,1.55,4.66,93.12,4.55,1.36,0.5,0.45,0,0.52,1.11,0.58,25.11,0.33,8.28,0.63,0.25,20.58,1.41,69.04,223.93,60.87,9.97,50.9,TDL,black,945.1,434780,45.9,20.6,206000
10246169,Constable,40777,24-Sep-02,3.9,I,3.5,N,3.3,16.1,5.46,6.42,30.35,0.04,2.15,,3.58,0.07,0.43,12.01,0.04,0.19,2.98,1.47,4.4,87.96,5.46,2.39,1.74,0.41,1.96,0.73,1.56,0.56,24.04,0.39,9.78,0.51,0.26,21.48,1.3,63.7,212.06,41.71,3.86,37.85,TDL,black,945.1,434780,45.9,20.6,206000
10346036,Constable,40777,10-Jul-03,3.7,I,3.5,N,3.5,17.3,5.28,8.33,13.06,0.02,0.92,0.52,2.45,0.04,0.27,7.59,0.08,0.37,5.88,1.58,4.74,94.8,4.23,1.19,1.1,0.29,1.34,0.83,1.78,0.55,23.48,0.37,9.28,0.13,0.23,19.02,1.46,71.34,304.37,125.04,24.44,100.6,TDL,black,945.1,434780,45.9,20.6,206000
10346121,Constable,40777,7-Aug-03,4.2,I,2,Ye,1.75,16.9,5.31,-0.38,7.52,0.01,0.53,0.42,3.22,0.04,0.31,8.74,0.05,0.22,3.54,1.52,4.55,91.08,5.98,1.2,0.5,0.39,2.34,0.7,1.5,0.51,21.93,0.36,9.1,0.38,0.23,18.78,1.34,65.56,312.47,104.46,17.95,86.51,TDL,black,945.1,434780,45.9,20.6,206000
10446035,Constable,40777,21-Jul-04,4.3,I,2,Ye,2.5,14.6,5.23,4.38,5,0.01,0.35,0.4,2.67,0.05,0.21,5.96,0.05,0.22,3.54,1.41,4.22,84.3,4.16,1.76,2.51,0.43,2.4,0.58,1.24,0.51,21.72,0.36,8.98,0.13,0.26,21.07,1.11,54.59,322.48,91.88,29.92,61.95,TDL,black,945.1,434780,45.9,20.6,206000
10446121,Constable,40777,4-Aug-04,4.2,I,2.5,Ye,2.1,13.3,5.24,6.56,5,0.01,0.35,0.36,3.09,0.05,0.25,7.03,0.01,0.06,0.89,1.32,3.96,79.14,3.68,,2.24,0.39,5.14,0.69,1.48,0.51,21.93,0.36,9.1,0.4,0.24,19.43,1.21,59.14,318.97,83.43,29.41,54.02,TDL,black,945.1,434780,45.9,20.6,206000
10546035,Constable,40777,13-Jul-05,4.1,I,2,Ye,2.5,17.2,5.23,0.26,5,0.01,0.35,0.7,3.48,0.05,0.38,10.72,0.08,0.38,6.02,1.3,3.9,78,5.07,2.27,1.59,0.35,3.02,0.7,1.49,0.61,26.1,0.39,9.8,0.4,0.23,18.78,1.21,59.49,277.9,93.2,25.66,67.54,TDL,black,945.1,434780,45.9,20.6,206000
10546120,Constable,40777,10-Aug-05,4.1,I,2,Ye,3.3,17.5,5.23,5.17,15.5,0.02,1.1,0.51,4.25,0.05,0.33,9.24,0.06,0.25,4.07,1.27,3.81,76.2,5.19,2.43,1.77,0.35,1.61,1.01,2.16,0.61,26.32,0.37,9.18,0.56,0.21,17.3,1.23,60.03,274.69,109.2,39.45,69.75,TDL,black,945.1,434780,45.9,20.6,206000
10646035,Constable,40777,14-Jul-06,4.6,I,3,Ye,2.3,21.4,4.81,-10.89,5,0.01,0.35,1.02,6.21,0.04,0.56,15.71,0.05,0.21,3.42,1.25,3.75,75,6.36,2.21,2.39,0.29,1.93,1.38,2.95,0.47,20.21,0.25,6.33,0.48,0.19,15.33,1.02,49.74,535.3,177.55,87.64,89.91,TDL,black,945.1,434780,45.9,20.6,206000
10646122,Constable,40777,10-Aug-06,4.1,I,2.5,Ye,1.7,16.7,5.43,8.63,21.2,0.03,1.5,0.71,3.96,0.05,0.26,7.22,0.01,0.06,0.89,1.15,3.45,69,7.88,2.17,1.36,0.48,3.93,1.17,2.5,0.48,20.73,0.26,6.53,,0.18,14.92,1.1,54.05,495.76,137.21,53.26,83.94,TDL,black,945.1,434780,45.9,20.6,206000
9646786,Constable,40777,18-Jul-96,3.9,G,3.5,Yh,3.2,22.3,4.75,-22.03,39,0.05,2.76,1.22,6.79,,0.37,10.36,0.22,0.98,15.73,1.57,4.71,94.2,5.33,2.49,2.68,0.65,1.62,0.96,1.93,0.48,20.64,0.3,7.5,0.39,0.25,20.5,1.05,51.66,467,310,120,190,TDL,black,945.1,434780,45.9,20.6,206000
9746819,Constable,40777,10-Jul-97,4,G,3.5,Yh,2.5,24.7,4.68,-47.8,5,0.01,0.35,0.25,6.5,0.15,0.86,24.08,0.29,1.28,20.55,1.57,4.71,94.2,12.8,1.36,1.9,0.5,2.21,1.29,2.59,0.62,26.66,0.46,11.5,0.25,0.23,18.86,1.01,49.33,422,340,100,240,TDL,black,945.1,434780,45.9,20.6,206000
9746892,Constable,40777,12-Aug-97,4,G,3.5,Yh,3,19.4,5.34,-0.81,40,0.05,2.83,0.81,9.1,0.08,0.4,11.2,0.1,0.44,7.09,1.5,4.5,90,7,1.6,1.6,0.51,2.6,0.83,1.66,0.52,22.36,0.42,10.5,0.47,0.31,25.75,1.27,62.09,307,190,74,116,TDL,black,945.1,434780,45.9,20.6,206000
9846634,Constable,40777,8-Jul-98,4.2,G,3.5,Yh,2.5,18.8,5.01,-12.71,49.58,0.06,3.51,2.91,5.66,0.03,0.48,13.36,0.12,0.53,8.5,1.03,3.08,61.56,7.17,2.4,3.72,0.66,3.24,1.46,2.91,0.45,19.22,0.36,9,0.05,0.22,17.71,1.03,50.58,,260.28,150.88,109.4,TDL,black,945.1,434780,45.9,20.6,206000
9846706,Constable,40777,11-Aug-98,3.8,G,3,Yh,2.8,20.8,5.16,-2.29,36.09,0.05,2.55,1.18,6.13,0.08,0.29,8.12,0.09,0.4,6.38,1.73,5.19,103.8,3.64,2.34,2.4,0.44,3.56,1.15,2.3,0.53,22.83,0.27,6.65,0.41,0.26,20.91,1.23,60.34,,140.76,49.79,90.96,TDL,black,945.1,434780,45.9,20.6,206000
